STATION,NAME,COUNTRY,LATITUDE,LONGITUDE,ELEVATION,DATE,EMXP,PRCP,TAVG,TMAX,TMIN
FR000007650,MARSEILLES MARIGNANE, FR,43.4378,5.2158,9,1975-01,0.38,0.8,47.6,55.5,39.8
FR000007650,MARSEILLES MARIGNANE, FR,43.4378,5.2158,9,1975-02,0.72,2.31,47.8,57,38.5
FR000007650,MARSEILLES MARIGNANE, FR,43.4378,5.2158,9,1975-03,1.07,2.19,48.9,55.9,41.9
FR000007650,MARSEILLES MARIGNANE, FR,43.4378,5.2158,9,1975-04,0.53,0.68,55.2,65.1,45.3
FR000007650,MARSEILLES MARIGNANE, FR,43.4378,5.2158,9,1975-05,0.48,1.76,62.3,70.9,53.6
FR000007650,MARSEILLES MARIGNANE, FR,43.4378,5.2158,9,1975-06,0.43,0.9,68.6,77.3,60
FR000007650,MARSEILLES MARIGNANE, FR,43.4378,5.2158,9,1975-07,0.23,0.25,75.4,85.7,65.1
FR000007650,MARSEILLES MARIGNANE, FR,43.4378,5.2158,9,1975-08,1.46,1.66,75.6,84.2,67
FR000007650,MARSEILLES MARIGNANE, FR,43.4378,5.2158,9,1975-09,0.79,3.19,70.1,78.3,61.9
FR000007650,MARSEILLES MARIGNANE, FR,43.4378,5.2158,9,1975-10,0.46,0.46,57.7,67,48.5
FR000007650,MARSEILLES MARIGNANE, FR,43.4378,5.2158,9,1975-11,1.04,2.49,51.2,57.5,44.9
FR000007650,MARSEILLES MARIGNANE, FR,43.4378,5.2158,9,1975-12,1.87,4.4,45,52.2,37.7
FR000007650,MARSEILLES MARIGNANE, FR,43.4378,5.2158,9,1976-01,1.05,1.21,43.7,52,35.5
FR000007650,MARSEILLES MARIGNANE, FR,43.4378,5.2158,9,1976-02,0.66,1.8,48.2,55.3,41.1
FR000007650,MARSEILLES MARIGNANE, FR,43.4378,5.2158,9,1976-03,0.56,1.42,49.9,59,40.9
FR000007650,MARSEILLES MARIGNANE, FR,43.4378,5.2158,9,1976-04,1.45,3.98,54.9,63.2,46.5
FR000007650,MARSEILLES MARIGNANE, FR,43.4378,5.2158,9,1976-05,0.84,1.59,64.2,73.6,54.9
FR000007650,MARSEILLES MARIGNANE, FR,43.4378,5.2158,9,1976-06,0.8,0.84,72.9,83,62.7
FR000007650,MARSEILLES MARIGNANE, FR,43.4378,5.2158,9,1976-07,0.45,1.08,75.6,84.5,66.6
FR000007650,MARSEILLES MARIGNANE, FR,43.4378,5.2158,9,1976-08,0.42,1.18,73.1,82.5,63.7
FR000007650,MARSEILLES MARIGNANE, FR,43.4378,5.2158,9,1976-09,0.32,1.41,66,73.9,58.1
FR000007650,MARSEILLES MARIGNANE, FR,43.4378,5.2158,9,1976-10,4.02,12.07,59,66.5,51.5
FR000007650,MARSEILLES MARIGNANE, FR,43.4378,5.2158,9,1976-11,1.66,4.36,48.4,55.9,40.8
FR000007650,MARSEILLES MARIGNANE, FR,43.4378,5.2158,9,1976-12,1.24,1.98,47,53.5,40.5
FR000007650,MARSEILLES MARIGNANE, FR,43.4378,5.2158,9,1977-01,0.65,2.78,46.5,52.7,40.2
FR000007650,MARSEILLES MARIGNANE, FR,43.4378,5.2158,9,1977-02,0.86,1.78,50.2,57.9,42.4
FR000007650,MARSEILLES MARIGNANE, FR,43.4378,5.2158,9,1977-03,0.51,1.65,53.6,62,45.2
FR000007650,MARSEILLES MARIGNANE, FR,43.4378,5.2158,9,1977-04,0.36,0.74,54.9,63.9,45.9
FR000007650,MARSEILLES MARIGNANE, FR,43.4378,5.2158,9,1977-05,2.01,4.77,61.1,69.1,53.1
FR000007650,MARSEILLES MARIGNANE, FR,43.4378,5.2158,9,1977-06,0.46,1.35,67.9,76.2,59.6
FR000007650,MARSEILLES MARIGNANE, FR,43.4378,5.2158,9,1977-07,1.5,2.46,72.2,81.1,63.2
FR000007650,MARSEILLES MARIGNANE, FR,43.4378,5.2158,9,1977-08,0.83,1.55,70.8,79.4,62.2
FR000007650,MARSEILLES MARIGNANE, FR,43.4378,5.2158,9,1977-09,0.07,0.07,66.1,75.9,56.2
